task,points,cost,memory,params,status,correctness,note
task285,12.276936,335395,261397,73998,ok,265/265,
task285,12.276936,335395,261397,73998,ok,265/265,
task286,11.568147,681365,680464,901,ok,265/265,
task286,11.568147,681365,680464,901,ok,265/265,
task287,14.625915,32019,32000,19,ok,267/267,
task287,14.625915,32019,32000,19,ok,267/267,
task290,17.142519,2585,2547,38,ok,266/266,
task290,17.142519,2585,2547,38,ok,266/266,
task291,14.399921,40138,40047,91,ok,265/265,
task291,14.399921,40138,40047,91,ok,265/265,
task292,14.148781,51597,51480,117,ok,28/28,
task292,14.148781,51597,51480,117,ok,28/28,
task293,14.347198,42311,42300,11,ok,267/267,
task293,14.347198,42311,42300,11,ok,267/267,
task294,15.459421,13913,13840,73,ok,265/265,
task294,15.459421,13913,13840,73,ok,265/265,
task295,14.246404,46798,46728,70,ok,268/268,
task295,14.246404,46798,46728,70,ok,268/268,
task296,17.469520,1864,1764,100,ok,268/268,
task296,17.469520,1864,1764,100,ok,268/268,
task297,16.248209,6322,6282,40,ok,265/265,
task297,16.248209,6322,6282,40,ok,265/265,
task298,15.990675,8179,8166,13,ok,267/267,
task298,15.990675,8179,8166,13,ok,267/267,
task299,17.235704,2355,2340,15,ok,21/21,
task299,17.235704,2355,2340,15,ok,21/21,
task308,12.974574,166946,166771,175,ok,266/266,
task308,12.974574,166946,166771,175,ok,266/266,
task309,16.585283,4513,4500,13,ok,265/265,
task309,16.585283,4513,4500,13,ok,265/265,
task310,15.119525,19545,19502,43,ok,266/266,
task310,15.119525,19545,19502,43,ok,266/266,
task311,17.719303,1452,1440,12,ok,266/266,
task311,17.719303,1452,1440,12,ok,266/266,
task312,16.717011,3956,3936,20,ok,265/265,
task312,16.717011,3956,3936,20,ok,265/265,
task313,14.407574,39832,38601,1231,ok,266/266,
task313,14.407574,39832,38601,1231,ok,266/266,
task314,15.766138,10238,9664,574,ok,266/266,
task314,15.766138,10238,9664,574,ok,266/266,
task315,17.320286,2164,2142,22,ok,266/266,
task315,17.320286,2164,2142,22,ok,266/266,
task315_concat_blocks,0.000000,2167,2142,25,wrong,no task JSON,no task JSON
task315_foreground,0.000000,2164,2142,22,wrong,no task JSON,no task JSON
task315_tiled_mask,0.000000,2393,2340,53,wrong,no task JSON,no task JSON
task316,15.810781,9791,9760,31,ok,266/266,
task316,15.810781,9791,9760,31,ok,266/266,
task317,18.007904,1088,1062,26,ok,265/265,
task317,18.007904,1088,1062,26,ok,265/265,
task318,18.247730,856,816,40,ok,267/267,
task318,18.247730,856,816,40,ok,267/267,
task319,15.119167,19552,9562,9990,ok,267/267,
task319,15.119167,19552,9562,9990,ok,267/267,
task320,16.248842,6318,6291,27,ok,266/266,
task320,16.248842,6318,6291,27,ok,266/266,
task321,17.919132,1189,1168,21,ok,267/267,
task321,17.919132,1189,1168,21,ok,267/267,
task322,17.998754,1098,1089,9,ok,266/266,
task322,17.998754,1098,1089,9,ok,266/266,
task323,15.746696,10439,9464,975,ok,172/172,
task323,15.746696,10439,9464,975,ok,172/172,
task324,8.677270,12270761,12051712,219049,ok,266/266,
task324,8.677270,12270761,12051712,219049,ok,266/266,
task325,14.438423,38622,36421,2201,ok,266/266,
task325,14.438423,38622,36421,2201,ok,266/266,
task326,19.888012,166,160,6,ok,266/266,
task326,19.888012,166,160,6,ok,266/266,
task327,16.787974,3685,3348,337,ok,265/265,
task327,16.787974,3685,3348,337,ok,265/265,
task328,13.003945,162114,161052,1062,ok,267/267,
task328,13.003945,162114,161052,1062,ok,267/267,
task329,14.320335,43463,43430,33,ok,266/266,
task329,14.320335,43463,43430,33,ok,266/266,
task330,12.056488,418115,407400,10715,ok,266/266,
task330,12.056488,418115,407400,10715,ok,266/266,
task332,16.228940,6445,6336,109,ok,267/267,
task332,16.228940,6445,6336,109,ok,267/267,
task333,14.185998,49712,49256,456,ok,265/265,
task333,14.185998,49712,49256,456,ok,265/265,
task334,18.910955,441,374,67,ok,271/271,
task334,18.910955,441,374,67,ok,271/271,
task335,14.681889,30276,30206,70,ok,266/266,
task335,14.681889,30276,30206,70,ok,266/266,
task336,15.592696,12177,12032,145,ok,31/31,
task336,15.592696,12177,12032,145,ok,31/31,
task336_candidate,0.000000,12177,12032,145,wrong,no task JSON,no task JSON
task337,22.697415,10,0,10,ok,266/266,
task337,22.697415,10,0,10,ok,266/266,
task338,13.248735,126914,126000,914,ok,267/267,
task338,13.248735,126914,126000,914,ok,267/267,
task339,18.309158,805,787,18,ok,266/266,
task339,18.753893,516,503,13,ok,266/266,
task340,13.458681,102880,102784,96,ok,266/266,
task341,15.611597,11949,11892,57,ok,266/266,
task342,13.617764,87749,87345,404,ok,266/266,
task343,15.194677,18130,18035,95,ok,266/266,
task344,15.913410,8836,8800,36,ok,266/266,
task345,16.054798,7671,7541,130,ok,264/264,
task346,15.351986,15491,15377,114,ok,267/267,
task347,18.897441,447,432,15,ok,269/269,
task348,14.740028,28566,28400,166,ok,265/265,
task349,12.876451,184158,181640,2518,ok,267/267,
task350,14.305626,44107,37800,6307,ok,267/267,
task352,18.868774,460,0,460,ok,266/266,
task353,14.708193,29490,29424,66,ok,271/271,
task354,15.253166,17100,17030,70,ok,266/266,
task355,13.717570,79414,79126,288,ok,267/267,
task356,15.938972,8613,8400,213,ok,266/266,
task357,15.180166,18395,18336,59,ok,13/13,
task358,14.366479,41503,39679,1824,ok,265/265,
task359,15.069822,20541,20529,12,ok,266/266,
task360,16.480210,5013,5000,13,ok,266/266,
,,,,,,,
TOTAL,9864.834314,,,,,,
AVG_CORRECT,15.437925,,,,,,639 tasks
